epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,5319.66,0.60876,4.1219,0.32857,0.62279,1.14853,0.925,0.86514,0.94194,0.80409,0.78016,0.69103,0.67517,0.3659,0.59237,3.52987,0.29219,0.53915,1.02051,0.007426,0.007426,0.007426
28,5515.84,0.60379,4.04182,0.32443,0.61349,1.14037,0.93958,0.85857,0.948,0.81463,0.78987,0.69973,0.69718,0.38506,0.57515,3.41667,0.29676,0.52147,1.00595,0.007327,0.007327,0.007327
29,5712.57,0.59934,4.01859,0.32403,0.61012,1.14011,0.93524,0.86551,0.94519,0.81034,0.78863,0.70919,0.65943,0.36499,0.57335,3.38031,0.2856,0.51717,1.00052,0.007228,0.007228,0.007228
30,5911.53,0.59519,3.96361,0.32237,0.60574,1.13731,0.93391,0.85648,0.94254,0.81081,0.79526,0.70397,0.69553,0.39586,0.573,3.38656,0.28467,0.53165,1.01157,0.007129,0.007129,0.007129
31,6108.91,0.58615,3.99743,0.32333,0.59711,1.13107,0.9237,0.87125,0.948,0.81551,0.79052,0.70602,0.6834,0.37088,0.55591,3.38601,0.28463,0.5234,0.98782,0.00703,0.00703,0.00703
32,6304.24,0.58428,3.91021,0.31955,0.59351,1.12857,0.92554,0.8765,0.94964,0.81951,0.79658,0.70284,0.68653,0.38681,0.56469,3.32226,0.28122,0.51923,0.99952,0.006931,0.006931,0.006931
33,6501.33,0.58013,3.89003,0.31824,0.58752,1.12822,0.93202,0.86447,0.94684,0.81888,0.79313,0.71195,0.67433,0.38111,0.54677,3.34325,0.28249,0.51531,0.98299,0.006832,0.006832,0.006832
34,6697.18,0.57158,3.81189,0.31741,0.58043,1.11786,0.91831,0.88553,0.95038,0.82658,0.79838,0.72454,0.70717,0.41298,0.5429,3.21437,0.28566,0.50324,0.98173,0.006733,0.006733,0.006733
35,6894.25,0.57137,3.80604,0.31426,0.57469,1.12447,0.93058,0.87219,0.94977,0.8264,0.80149,0.7151,0.72174,0.4312,0.53975,3.23956,0.2811,0.49755,0.9764,0.006634,0.006634,0.006634
36,7090.06,0.56819,3.77194,0.31467,0.57704,1.12149,0.92473,0.88413,0.95055,0.82668,0.80794,0.7269,0.69517,0.40054,0.54596,3.18508,0.27575,0.48457,0.98051,0.006535,0.006535,0.006535
37,7286.74,0.56736,3.77441,0.31435,0.57921,1.12018,0.9386,0.87107,0.95145,0.8311,0.80407,0.7235,0.70605,0.42017,0.53089,3.14477,0.27567,0.48837,0.96747,0.006436,0.006436,0.006436
38,7484.46,0.56088,3.71666,0.31286,0.56388,1.11387,0.94034,0.87657,0.95333,0.83079,0.8043,0.73757,0.71224,0.41292,0.53839,3.13812,0.27556,0.48883,0.97672,0.006337,0.006337,0.006337
39,7680.81,0.55719,3.72714,0.31188,0.56197,1.11362,0.93567,0.88164,0.95277,0.83236,0.80577,0.73939,0.70894,0.4213,0.53492,3.11013,0.27283,0.48706,0.97294,0.006238,0.006238,0.006238
40,7878.68,0.5598,3.69433,0.31127,0.56189,1.11137,0.93555,0.87719,0.95417,0.83339,0.80643,0.7424,0.71425,0.42251,0.53435,3.06189,0.27229,0.4934,0.96807,0.006139,0.006139,0.006139
41,8076.86,0.55223,3.66532,0.30893,0.55886,1.1102,0.92714,0.88127,0.95168,0.83384,0.8207,0.73257,0.71646,0.43593,0.52652,3.01355,0.27279,0.4796,0.9655,0.00604,0.00604,0.00604
42,8276.01,0.54893,3.62803,0.30926,0.55208,1.10659,0.94559,0.87193,0.95619,0.84039,0.82388,0.74445,0.73854,0.44715,0.52355,3.01685,0.2663,0.47439,0.96125,0.005941,0.005941,0.005941
43,8472.09,0.54486,3.57771,0.30501,0.54521,1.10289,0.92986,0.87968,0.95436,0.84162,0.81983,0.74378,0.72098,0.43708,0.51144,2.98361,0.26664,0.47058,0.95498,0.005842,0.005842,0.005842
44,8670.15,0.54133,3.58435,0.30594,0.54372,1.10258,0.94119,0.87605,0.95317,0.83783,0.8137,0.74824,0.73261,0.45388,0.52216,2.96554,0.27249,0.47744,0.95892,0.005743,0.005743,0.005743
45,8866,0.53768,3.52023,0.30358,0.54602,1.09692,0.93297,0.88159,0.95499,0.84408,0.82753,0.75233,0.75406,0.46696,0.50787,2.92684,0.26965,0.46423,0.94576,0.005644,0.005644,0.005644
46,9062.13,0.53274,3.51536,0.30314,0.5375,1.09678,0.93222,0.88104,0.95518,0.84465,0.82164,0.76163,0.76568,0.47462,0.50939,2.88525,0.26253,0.46769,0.94526,0.005545,0.005545,0.005545
47,9258.08,0.52963,3.48199,0.30064,0.53235,1.08951,0.92594,0.88808,0.95675,0.84929,0.82564,0.73741,0.74581,0.46823,0.50081,2.90599,0.26465,0.46636,0.942,0.005446,0.005446,0.005446
48,9454.64,0.5285,3.50388,0.30123,0.52781,1.09282,0.93569,0.88422,0.95396,0.84793,0.81859,0.75294,0.74605,0.46752,0.49948,2.86932,0.26174,0.45857,0.93684,0.005347,0.005347,0.005347
49,9651.97,0.5195,3.45197,0.30113,0.52181,1.08707,0.92956,0.88669,0.95653,0.84998,0.82831,0.74438,0.73386,0.45713,0.49738,2.85977,0.26298,0.45454,0.93409,0.005248,0.005248,0.005248
